Date,Start Time,End Time,Time Diff (H.M), PriceUnit
04/02/2025,20:00,0:40,4.4,50
04/03/2025,20:10,4:22,8.12,50
04/04/2025,19:30,1:31,6.1,50
04/05/2025,2:28,3:00,0.32,50
04/07/2025,17:10,18:28,1.18,50
04/11/2025,19:30,23:08,3.38,50
04/15/2025,18:00,20:00,2,50
04/16/2025,4:30 PM,11:30 PM,7,50
04/17/2025,10:00 PM,12:41 AM,2.41,50
04/23/2025,8:00 PM,1:00 AM,5,50
04/28/2025,6:30 PM,23:40,5.1,50
